Code_commune_Insee_2022,Libelle_commune_2022,Population_active_emploi_1999,Distance_mediane_domicile_travail_1999_km,Population_active_emploi_2019,Distance_mediane_domicile_travail_2019_km,Ecart_distance_mediane_km,Evolution_distance_mediane_pct,Categorie_densite
01045,Birieux,68,1.3,136.077654448893,30.2,28.9,2223.076923076923,Rural à habitat dispersé périurbain
01046,Biziat,264,6.9,454.883713322717,16.6,9.700000000000001,140.57971014492753,Rural à habitat dispersé non périurbain
01047,Blyes,308,11.1,652.009456264775,19.5,8.4,75.67567567567568,Rural à habitat dispersé périurbain
01049,La Boisse,1104,12.3,1471.54810372565,19.3,7,56.91056910569105,Urbain
01050,Boissey,68,15,196.976208502866,15,0,0,Rural à habitat dispersé périurbain
01051,Bolozon,32,12.9,35.7865168539326,33.7,20.800000000000004,161.2403100775194,Rural à habitat dispersé non périurbain
01052,Bouligneux,128,14.4,140.043006033953,28.3,13.9,96.52777777777777,Rural à habitat dispersé périurbain
01053,Bourg-en-Bresse,15998,2.6,14379.3145359963,2.6,0,0,Urbain
01054,Bourg-Saint-Christophe,356,16.1,751.159536290637,20.4,4.299999999999997,26.708074534161472,Bourgs ruraux périurbains
01056,Boyeux-Saint-Jérôme,112,16.35,151.310668993679,18.4,2.049999999999997,12.538226299694172,Rural à habitat dispersé non périurbain
01057,Boz,172,5.8,237.225363296437,15.9,10.100000000000001,174.1379310344828,Rural à habitat dispersé périurbain
01058,Brégnier-Cordon,208,9.35,338.50904456656,8.8,-0.5499999999999989,-5.8823529411764595,Rural à habitat dispersé non périurbain
01060,Brénod,180,10.4,212.393831315697,10.4,0,0,Rural à habitat dispersé non périurbain
01061,Brens,332,5,514.95145631068,5.97572815533982,0.9757281553398203,19.514563106796405,Rural à habitat dispersé non périurbain
01062,Bressolles,256,20.55,411.476633091626,24.7,4.149999999999999,20.194647201946466,Urbain
01063,Brion,244,5.9,197.913275472111,5.9,0,0,Urbain
01064,Briord,288,2.7,508.084326306142,15.5,12.8,474.074074074074,Rural à habitat dispersé non périurbain
01065,Buellas,612,8.3,850,8.3,0,0,Bourgs ruraux périurbains
01066,La Burbanche,12,2.4,40,54.3,51.9,2162.5,Rural à habitat dispersé non périurbain
01067,Ceignes,108,14.6,125,17.6,3.0000000000000018,20.547945205479465,Rural à habitat dispersé non périurbain
01068,Cerdon,248,0.7,301.671309193905,24.6,23.900000000000002,3414.2857142857147,Rural à habitat dispersé non périurbain
01069,Certines,620,13.1,781.897180344051,13.1,0,0,Bourgs ruraux périurbains
01071,Cessy,532,3.4,1035.32464019204,5.4,2.0000000000000004,58.823529411764724,Urbain
01072,Ceyzériat,1024,10.2,1327.65128834581,10.2,0,0,Bourgs ruraux périurbains
01073,Ceyzérieu,348,10.3,398.780186595457,10.8,0.5,4.854368932038835,Rural à habitat dispersé non périurbain
01074,Chalamont,696,10.6,1122.07374194491,21.7536870972457,11.1536870972457,105.2234631815632,Bourgs ruraux périurbains
01075,Chaleins,492,12.2,788.643789419264,13.3,1.1000000000000014,9.016393442622963,Bourgs ruraux périurbains
01076,Chaley,28,9,43.2692307692308,23.7,14.7,163.33333333333334,Rural à habitat dispersé non périurbain
01077,Challes-la-Montagne,96,11.5,86.3212435233161,25.1,13.600000000000001,118.2608695652174,Rural à habitat dispersé non périurbain
01078,Challex,148,5.9,210.661505350041,11.3,5.4,91.52542372881355,Urbain
01079,Champagne-en-Valromey,220,1.8,265,11.8,10,555.5555555555555,Rural à habitat dispersé non périurbain
01080,Champdor-Corcelles,280,5.4,252.193892101866,5.4,0,0,Rural à habitat dispersé non périurbain
01081,Champfromier,256,0.8,210,17.5,16.7,2087.5,Rural à habitat dispersé non périurbain
01082,Chanay,180,0.7,200.830026738929,23.7286056187705,23.028605618770502,3289.8008026815005,Rural à habitat dispersé périurbain
01083,Chaneins,244,9.8,493.678093650206,20.9,11.099999999999998,113.26530612244895,Rural à habitat dispersé non périurbain
01084,Chanoz-Châtenay,228,9.7,442.155266015201,17.5,7.800000000000001,80.41237113402063,Rural à habitat dispersé périurbain
01085,La Chapelle-du-Châtelard,136,8.2,180.914217811589,31.6,23.400000000000002,285.3658536585366,Rural à habitat dispersé périurbain
01087,Charix,108,12,123.940710971019,12,0,0,Rural à habitat dispersé périurbain
01088,Charnoz-sur-Ain,356,24.4,489.454206182752,19.4582257660184,-4.941774233981597,-20.253173090088513,Bourgs ruraux périurbains
01089,Château-Gaillard,568,6.4,985,15.7,9.299999999999999,145.31249999999997,Bourgs ruraux périurbains
01090,Châtenay,128,19.6,130,18.05,-1.5500000000000007,-7.908163265306125,Rural à habitat dispersé non périurbain
01092,Châtillon-la-Palud,448,10.65,680,14.85,4.199999999999999,39.43661971830985,Bourgs ruraux périurbains
01093,Châtillon-sur-Chalaronne,1612,1.2,1989.13177587287,15.6,14.4,1200,Bourgs ruraux non périurbains
01094,Chavannes-sur-Reyssouze,244,4.8,347.595113178557,18,13.2,275,Rural à habitat dispersé périurbain
01095,Nivigne et Suran,216,8.8,317.312648272719,20.8,12,136.36363636363635,Rural à habitat dispersé périurbain
01096,Chaveyriat,348,12.1,542.463508960939,14.9,2.8000000000000007,23.1404958677686,Rural à habitat dispersé périurbain
01098,Chazey-Bons,352,5.5,465.86852276606,5.5,0,0,Rural à habitat dispersé non périurbain
01099,Chazey-sur-Ain,480,13.5,723.533106943756,11.9,-1.5999999999999996,-11.85185185185185,Rural à habitat dispersé périurbain
01100,Cheignieu-la-Balme,28,47.1,40,15.85,-31.25,-66.34819532908705,Rural à habitat dispersé non périurbain
01101,Chevillard,52,15.1,85,16.4,1.299999999999999,8.609271523178801,Rural à habitat dispersé non périurbain
01102,Chevroux,260,7.3,436.436973993308,14.3,7.000000000000001,95.89041095890413,Rural à habitat dispersé périurbain
01103,Chevry,164,6.5,410,5,-1.5,-23.076923076923077,Urbain
01104,Chézery-Forens,152,10.35,195.690635192129,6.4,-3.9499999999999993,-38.164251207729464,Rural à habitat dispersé non périurbain
01105,Civrieux,480,14.45,910,17.7,3.25,22.49134948096886,Bourgs ruraux périurbains
01106,Cize,36,20,85,26.4,6.399999999999999,31.999999999999993,Rural à habitat dispersé périurbain
01107,Cleyzieu,44,12.6,54.1851851851852,18.2,5.6,44.44444444444444,Rural à habitat dispersé non périurbain
01108,Coligny,424,8.2,476.682269019658,20.8,12.600000000000001,153.6585365853659,Rural à habitat dispersé périurbain
01109,Collonges,316,15.3,540,18.2,2.8999999999999986,18.954248366013065,Bourgs ruraux périurbains
01110,Colomieu,36,9,75,9,0,0,Rural à habitat dispersé non périurbain
01111,Conand,36,16.2,75,16.3,0.10000000000000142,0.6172839506172928,Rural à habitat dispersé non périurbain
01112,Condamine,128,6.9,240.185052612532,11.6,4.699999999999999,68.1159420289855,Rural à habitat dispersé non périurbain
01113,Condeissiat,268,12,390,14.7,2.6999999999999993,22.499999999999996,Rural à habitat dispersé périurbain
01114,Confort,168,6.6,218.830500114315,6.6,0,0,Rural à habitat dispersé périurbain
01115,Confrançon,376,17,661.279089048721,17,0,0,Rural à habitat dispersé périurbain
01116,Contrevoz,192,8.5,145,8.5,0,0,Rural à habitat dispersé non périurbain
01117,Conzieu,28,13.5,65,13.5,0,0,Rural à habitat dispersé non périurbain
01118,Corbonod,300,13.3,400.420973441213,16,2.6999999999999993,20.30075187969924,Rural à habitat dispersé non périurbain
01121,Corlier,28,11.5,65,11.5,0,0,Rural à habitat dispersé non périurbain
01123,Cormoranche-sur-Saône,404,8.7,514.530278984986,9.2,0.5,5.74712643678161,Rural à habitat dispersé périurbain
01124,Cormoz,200,12,304.259259259259,23.8,11.8,98.33333333333333,Rural à habitat dispersé périurbain
01125,Corveissiat,200,6.25,255,25.3,19.05,304.8,Rural à habitat dispersé périurbain
01127,Courmangoux,128,21.5,215.031878425129,21.5,0,0,Rural à habitat dispersé périurbain
01128,Courtes,80,1.8,141.860465116279,15.7,13.899999999999999,772.2222222222221,Rural à habitat dispersé non périurbain
01129,Crans,132,21.5,100.841584158416,9.4,-12.1,-56.27906976744186,Rural à habitat dispersé périurbain
01130,Bresse Vallons,684,10.9,1158.54523397339,15.1,4.199999999999999,38.532110091743114,Rural à habitat dispersé périurbain
