Commune_Number,Commune_Name,EPCI_Number,Very_Low_Income_Population_Count,Very_Low_Income_Population_Percent
6003,Andon,200039857,nd,7.3
6004,Antibes,240600585,nd,7.9
6005,Ascros,200039931,nd,10.2
6006,Aspremont,200030195,nd,11.2
6007,Auribeau-sur-Siagne,200039857,nd,7.3
6008,Auvare,200039931,nd,10.2
6009,Bairols,200030195,nd,11.2
6010,Le Bar-sur-Loup,240600585,nd,7.9
6011,Beaulieu-sur-Mer,200030195,nd,11.2
6012,Beausoleil,240600551,11.6,9.1
6013,Belvédère,200030195,nd,11.2
6014,Bendejun,240600593,8.6,6.4
6015,Berre-les-Alpes,240600593,4.9,6.4
6016,Beuil,200039931,nd,10.2
6017,Bézaudun-les-Alpes,240600585,nd,7.9
6018,Biot,240600585,nd,7.9
6019,Blausasc,240600593,3.5,6.4
6020,La Bollène-Vésubie,200030195,nd,11.2
6021,Bonson,200030195,nd,11.2
6022,Bouyon,240600585,nd,7.9
6023,Breil-sur-Roya,240600551,13,9.1
6024,Briançonnet,200039857,nd,7.3
6025,Le Broc,200030195,nd,11.2
6026,Cabris,200039857,nd,7.3
6027,Cagnes-sur-Mer,200030195,nd,11.2
6028,Caille,200039857,nd,7.3
6029,Cannes,200039915,11.5,9.4
6030,Le Cannet,200039915,9,9.4
6031,Cantaron,240600593,4.1,6.4
6032,Cap-d'Ail,200030195,nd,11.2
6033,Carros,200030195,nd,11.2
6034,Castagniers,200030195,nd,11.2
6035,Castellar,240600551,7.6,9.1
6036,Castillon,240600551,6.2,9.1
6037,Caussols,240600585,nd,7.9
6038,Châteauneuf-Grasse,240600585,nd,7.9
6039,Châteauneuf-Villevieille,240600593,4.8,6.4
6040,Châteauneuf-d'Entraunes,200039931,nd,10.2
6041,Cipières,240600585,nd,7.9
6042,Clans,200030195,nd,11.2
6043,Coaraze,240600593,5,6.4
6044,La Colle-sur-Loup,240600585,nd,7.9
6045,Collongues,200039857,nd,7.3
6046,Colomars,200030195,nd,11.2
6047,Conségudes,240600585,nd,7.9
6048,Contes,240600593,5.4,6.4
6049,Courmes,240600585,nd,7.9
6050,Coursegoules,240600585,nd,7.9
6051,La Croix-sur-Roudoule,200039931,nd,10.2
